Id,SalePrice
1461,126904.63595014293
1462,162033.06564648348
1463,187757.58072648878
1464,195108.11389883628
1465,184556.49486871605
1466,170875.32156352082
1467,173746.6340838786
1468,166567.72321873272
1469,189809.10737109993
1470,125182.4821019455
1471,202431.2486799977
1472,92060.8621220582
1473,92493.46517153874
1474,149668.96678651165
1475,124249.72966052037
1476,398388.8991375797
1477,248526.62285000543
1478,284193.0347158683
1479,285684.13249505585
1480,468726.47998846107
1481,335150.14804863825
1482,206462.13134924325
1483,168327.15562118386
1484,167993.36566025479
1485,179492.71899857128
1486,192879.63118750363
1487,363812.4137125594
1488,227222.87547871278
1489,206798.28090183274
1490,226176.1226429635
1491,189254.86714193714
1492,92346.79939974533
1493,175337.8774256778
1494,273042.6051850632
1495,285933.5280329294
1496,239718.62398104504
1497,180092.46029290435
1498,164149.95317623072
1499,161781.73853727593
1500,157353.1427665484
1501,176129.98397599423
1502,149878.0487188662
1503,299466.9775156381
1504,239437.47783990597
1505,228612.15037000147
1506,183338.78058790922
1507,251811.23461370048
1508,201502.39592064137
1509,163833.7212283921
1510,144376.99703203584
1511,145820.09364458
1512,174076.70861740614
1513,155049.95045988134
1514,156281.87980469794
1515,188156.11608508273
1516,147065.61571098294
1517,163307.65092907666
1518,134860.38156868433
1519,224557.06872798328
1520,136409.8337330457
1521,139257.58753548632
1522,169888.8545627258
1523,115700.4418400059
1524,125771.66415085376
1525,121976.38678677313
1526,116682.79153999231
1527,101043.18818089316
1528,122811.26146634277
1529,154352.68089564418
1530,174505.15054226463
1531,116800.3248788134
1532,104011.85953026051
1533,151543.9141459315
1534,122220.1940770942
1535,149941.934869101
1536,108255.01389281283
1537,73018.68367795207
1538,147346.07008064346
1539,187320.26186431083
1540,108807.01697821631
1541,142683.16612879263
1542,134965.93259116914
1543,192757.8079481924
1544,79475.45427321525
1545,107658.37228675297
1546,131634.55693932791
1547,133353.27360944494
1548,137682.54840683984
1549,120295.30946878581
1550,140182.16556532015
1551,109046.06797361957
1552,140478.41662623343
1553,150247.12222756824
1554,114375.1248981848
1555,168978.86397065237
1556,86319.67708814952
1557,103994.75498692525
1558,91505.49276324999
1559,82320.19987268296
1560,142210.15049666777
1561,127017.35480944901
1562,127046.79937180094
1563,123049.23436067397
1564,166333.2341076834
1565,153231.4348317298
1566,237103.09470930527
1567,74666.29247960271
1568,229327.61565536968
1569,137151.58719150236
1570,134308.38354114935
1571,112696.68402947651
1572,144406.2059172892
1573,258049.74229329327
1574,113549.12627996647
